id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1736224438 ,3af00028-1fc5-36ed-9e01-b9f77da9e335,   -6.325700 ,  -38.580010 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,VENHA-VER,Caatinga
 1736224482 ,3a9d14ec-4ee4-3fa5-880d-69f08172546b,   -6.246650 ,  -38.542370 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,SÃO MIGUEL,Caatinga
 1736224530 ,0f0fe0ea-a157-3c2a-b73b-d3cbe6536ed6,   -5.902910 ,  -37.595190 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,CARAÚBAS,Caatinga
 1736224583 ,27ce914c-572b-363b-b7f7-9356ed93f5ac,   -5.459940 ,  -36.028920 ,2024-12-10 17:06:00,Brasil,RIO GRANDE DO NORTE,PEDRA PRETA,Caatinga
 1736224651 ,59e6babd-5d22-3220-9353-35b87c336aa8,   -5.658960 ,  -35.464610 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,CEARÁ-MIRIM,Caatinga
 1736224693 ,fd72d1d0-33f5-3960-9881-c063e1c0e1a8,   -5.260340 ,  -36.939890 ,2024-12-10 17:06:00,Brasil,RIO GRANDE DO NORTE,SERRA DO MEL,Caatinga
 1736224717 ,d8df9b3b-7954-35d4-b8c8-6febece4faaf,   -6.255550 ,  -38.541000 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,SÃO MIGUEL,Caatinga
 1736224734 ,5fcf7351-2e32-3020-bce2-e615f7b29002,   -5.461790 ,  -36.040900 ,2024-12-10 17:06:00,Brasil,RIO GRANDE DO NORTE,PEDRA PRETA,Caatinga
 1736224763 ,93818212-8e4e-37a0-b92d-6344af51ab7b,   -5.366630 ,  -36.972410 ,2024-12-10 17:06:00,Brasil,RIO GRANDE DO NORTE,AÇU,Caatinga
 1736224830 ,9eded4b0-f2b1-3b89-8acb-1f84f420ae8a,   -5.250700 ,  -36.941410 ,2024-12-10 17:06:00,Brasil,RIO GRANDE DO NORTE,SERRA DO MEL,Caatinga
 1736224876 ,ff6f3778-e72f-3d34-bf8e-f4649f56eb52,   -5.661010 ,  -35.477730 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,CEARÁ-MIRIM,Caatinga
 1736224897 ,2c4be82a-7ab8-3ae0-8233-604c2304aa3a,   -6.087960 ,  -38.406040 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,DOUTOR SEVERIANO,Caatinga
 1736224907 ,a15fc9ec-808d-3217-9e58-a5fd9957b72d,   -6.104730 ,  -38.272220 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,ENCANTO,Caatinga
 1736224940 ,ff152e7a-1c4f-3f69-9571-2edec2312bbd,   -6.143100 ,  -37.966840 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,SERRINHA DOS PINTOS,Caatinga
 1736225002 ,26d07843-ca4a-3897-aaba-47cbe3a20933,   -6.142740 ,  -35.464550 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,LAGOA SALGADA,Caatinga
 1736225075 ,ec9baefb-9304-3db5-875f-e5bf6be40e6f,   -6.151290 ,  -35.450050 ,2024-12-10 17:04:00,Brasil,RIO GRANDE DO NORTE,LAGOA SALGADA,Caatinga
