id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1615095772 ,d3679f6a-ee2a-3579-8771-2d3e499c5a72,   -5.756570 ,  -35.619470 ,2023-01-03 16:20:00,Brasil,RIO GRANDE DO NORTE,IELMO MARINHO,Caatinga
 1615095777 ,9eb0d5f1-4398-3063-90cb-4e20077784f6,   -6.256220 ,  -37.857510 ,2023-01-03 16:20:00,Brasil,RIO GRANDE DO NORTE,ANTÔNIO MARTINS,Caatinga
 1615095784 ,4de5c090-35cc-36a9-b20f-21a44dbb4d0b,   -6.257500 ,  -37.866440 ,2023-01-03 16:20:00,Brasil,RIO GRANDE DO NORTE,ANTÔNIO MARTINS,Caatinga
 1615095787 ,abc8fc93-f1ab-3626-9fb0-e1a0164b1439,   -5.760380 ,  -35.612220 ,2023-01-03 16:20:00,Brasil,RIO GRANDE DO NORTE,IELMO MARINHO,Caatinga
 1615355299 ,99bea09c-2bbb-362b-aab5-33c05fa544e8,   -6.538370 ,  -37.404800 ,2023-01-05 16:05:00,Brasil,RIO GRANDE DO NORTE,SERRA NEGRA DO NORTE,Caatinga
 1615355302 ,b89a89ef-3fec-3514-8fc8-cde1e3e6507b,   -6.538770 ,  -37.410140 ,2023-01-05 16:05:00,Brasil,RIO GRANDE DO NORTE,SERRA NEGRA DO NORTE,Caatinga
 1615355303 ,5e301d96-875d-3858-9689-4dd0bff1df51,   -6.539890 ,  -37.415970 ,2023-01-05 16:05:00,Brasil,RIO GRANDE DO NORTE,SERRA NEGRA DO NORTE,Caatinga
 1615355364 ,54e52110-6bec-35bf-8534-7fad2e77d6e2,   -5.347150 ,  -37.795170 ,2023-01-05 16:05:00,Brasil,RIO GRANDE DO NORTE,APODI,Caatinga
 1615355366 ,9cd36a46-40a3-3541-9fec-e6f8cb96419d,   -5.348730 ,  -37.806490 ,2023-01-05 16:05:00,Brasil,RIO GRANDE DO NORTE,APODI,Caatinga
 1615355386 ,4f6800c5-d5d2-33cf-a8d0-4c5e1eee1fba,   -6.230880 ,  -37.843550 ,2023-01-05 16:05:00,Brasil,RIO GRANDE DO NORTE,ANTÔNIO MARTINS,Caatinga
 1615355387 ,63c46c75-e336-34ab-811f-f86a6861a4f0,   -6.232470 ,  -37.855290 ,2023-01-05 16:05:00,Brasil,RIO GRANDE DO NORTE,ANTÔNIO MARTINS,Caatinga
 1615355389 ,1b5bbe73-310b-3f67-a366-d26ba1d7c629,   -6.233490 ,  -37.848670 ,2023-01-05 16:05:00,Brasil,RIO GRANDE DO NORTE,ANTÔNIO MARTINS,Caatinga
 1615488571 ,2972c0c2-eb62-3687-8d81-78546747319e,   -5.373720 ,  -37.801450 ,2023-01-06 16:47:00,Brasil,RIO GRANDE DO NORTE,APODI,Caatinga
 1615488574 ,d5773090-d3a4-328f-a410-233c40a2922e,   -6.150320 ,  -38.423700 ,2023-01-06 16:47:00,Brasil,RIO GRANDE DO NORTE,DOUTOR SEVERIANO,Caatinga
 1615614378 ,d4271ff4-c864-3085-8679-2ef9f76a45bf,   -6.393340 ,  -38.471530 ,2023-01-07 15:52:00,Brasil,RIO GRANDE DO NORTE,LUÍS GOMES,Caatinga
 1615614381 ,84f3e677-9e32-383e-9408-8f51e4520ee4,   -5.235680 ,  -35.591000 ,2023-01-07 15:52:00,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga
 1615977670 ,e53c5043-7094-3f9e-a69f-19a51c108580,   -5.625960 ,  -37.754460 ,2023-01-10 16:22:00,Brasil,RIO GRANDE DO NORTE,APODI,Caatinga
 1615977683 ,b5787b1e-bdb4-3a57-93bb-b195cf6b199e,   -6.085320 ,  -35.489000 ,2023-01-10 16:22:00,Brasil,RIO GRANDE DO NORTE,MONTE ALEGRE,Caatinga
 1615977684 ,c5168bbc-58e1-3385-b087-c7ca29d05b72,   -6.093630 ,  -35.476080 ,2023-01-10 16:22:00,Brasil,RIO GRANDE DO NORTE,MONTE ALEGRE,Caatinga
 1615977685 ,911d7da9-b74d-30dc-98a3-188e2823d789,   -6.095310 ,  -35.487410 ,2023-01-10 16:22:00,Brasil,RIO GRANDE DO NORTE,MONTE ALEGRE,Caatinga
 1615977695 ,f9138dea-9861-3550-bbe3-4f90a1a88b62,   -6.307730 ,  -38.390830 ,2023-01-10 16:22:00,Brasil,RIO GRANDE DO NORTE,RIACHO DE SANTANA,Caatinga
 1615977697 ,b90f7af9-fa92-35ca-97d0-4ea086b9cac4,   -6.309030 ,  -38.399780 ,2023-01-10 16:22:00,Brasil,RIO GRANDE DO NORTE,RIACHO DE SANTANA,Caatinga
 1616190339 ,5a9f7a8c-949f-3e74-ba45-2bdba9e046f5,   -5.255630 ,  -37.441250 ,2023-01-12 16:09:00,Brasil,RIO GRANDE DO NORTE,MOSSORÓ,Caatinga
 1616190340 ,a62a8c92-515b-30b6-ab89-b5ec5a118e53,   -5.257020 ,  -37.451170 ,2023-01-12 16:09:00,Brasil,RIO GRANDE DO NORTE,MOSSORÓ,Caatinga
 1616190344 ,87419bc0-79c4-3936-bc0a-47322b042302,   -6.039180 ,  -37.855980 ,2023-01-12 16:09:00,Brasil,RIO GRANDE DO NORTE,UMARIZAL,Caatinga
 1616190345 ,87016ecc-a8e2-340d-a5d4-9b6e46c4620a,   -5.976320 ,  -37.473690 ,2023-01-12 16:09:00,Brasil,RIO GRANDE DO NORTE,JANDUÍS,Caatinga
 1616190346 ,9f002791-61e8-3187-997c-3ea09fe30f7e,   -6.032730 ,  -35.271710 ,2023-01-12 16:09:00,Brasil,RIO GRANDE DO NORTE,SÃO JOSÉ DE MIPIBU,Mata Atlântica
 1616190348 ,66ec59dc-93d2-3a8d-a285-9a5f8cea02c2,   -6.130830 ,  -37.922190 ,2023-01-12 16:09:00,Brasil,RIO GRANDE DO NORTE,MARTINS,Caatinga
 1616190379 ,5962172b-7762-3b16-9864-1534c18af7a6,   -6.418850 ,  -38.310100 ,2023-01-12 16:09:00,Brasil,RIO GRANDE DO NORTE,MAJOR SALES,Caatinga
 1616190380 ,096c9601-b0b3-3be4-bc0d-2fb1dc28196a,   -6.471510 ,  -36.666440 ,2023-01-12 16:09:00,Brasil,RIO GRANDE DO NORTE,ACARI,Caatinga
 1617187529 ,03e4337c-15fc-38d8-a994-83cf2caac12d,   -5.231770 ,  -35.729990 ,2023-01-21 15:56:00,Brasil,RIO GRANDE DO NORTE,SÃO MIGUEL DO GOSTOSO,Caatinga
 1617867883 ,2c5ef918-b2ac-320a-b441-e5e418fe69c6,   -6.294800 ,  -35.236980 ,2023-01-28 16:00:00,Brasil,RIO GRANDE DO NORTE,GOIANINHA,Mata Atlântica
 1618083051 ,0bbce085-f8f9-3900-91ee-8bb331d2fa03,   -5.342440 ,  -35.470030 ,2023-01-30 15:48:00,Brasil,RIO GRANDE DO NORTE,PUREZA,Mata Atlântica
 1618083052 ,12e6dc0f-65d6-303c-a493-86c9d40a8f30,   -6.535450 ,  -35.274020 ,2023-01-30 15:48:00,Brasil,RIO GRANDE DO NORTE,MONTANHAS,Caatinga
 1618083053 ,91fb6a72-d324-346f-97d7-db3529f88a8e,   -6.542540 ,  -35.279950 ,2023-01-30 15:48:00,Brasil,RIO GRANDE DO NORTE,MONTANHAS,Caatinga
 1618218504 ,db8dbec9-40fd-32d8-9e21-5d19401d2683,   -6.057370 ,  -37.543720 ,2023-01-31 16:28:00,Brasil,RIO GRANDE DO NORTE,MESSIAS TARGINO,Caatinga
 1618427259 ,9b831c94-bf24-3185-b937-41362e79f833,   -5.036190 ,  -37.419880 ,2023-02-02 16:17:00,Brasil,RIO GRANDE DO NORTE,MOSSORÓ,Caatinga
 1618427279 ,d20a88fa-90c3-3e92-aa83-329dc8d3b61f,   -5.270740 ,  -36.938080 ,2023-02-02 16:17:00,Brasil,RIO GRANDE DO NORTE,SERRA DO MEL,Caatinga
